doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type,N_found,test_p_value_found,effectsize_measure_found,effectsize_value_found,CI_upper_found,CI_lower_found,CI_type_found
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,11,"One-way repeated measures ANOVA for Perceived Competence (R, E1, E6)",17,.022,,1.0,ω²,0.012,UNKNOWN,UNKNOWN,95%,True,True,False,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,12,Post-hoc paired t-test for Perceived Competence (E1 vs. R),17,.027,,1.0,Cohen's d,0.722,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,13,"One-way repeated measures ANOVA for ΔPower (R, E1, E6)",17,.077,,1.0,ω²,0.012,UNKNOWN,UNKNOWN,95%,True,True,False,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,14,Paired t-test for Power (R vs. G),15,≤ .05,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,15,Paired t-test for ΔPower (R vs. G),15,≤ .05,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,16,Paired t-test for PIS Similarity ID (R vs. G),15,≤ .01,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,17,Paired t-test for PIS Wishful ID (R vs. G),15,≤ .05,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,18,Paired t-test for FSQ Absorption (R vs. G),15,≤ .01,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,19,Paired t-test for Power (R vs. I),16,≤ .05,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,20,Paired t-test for ΔPower (R vs. I),16,≤ .05,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,21,Paired t-test for PIS Wishful ID (I vs. R),16,≤ .05,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,22,"One-way repeated measures ANOVA for Wishful Identification (R, E1, E6)",17,< .001,,1.0,ω²,0.161,UNKNOWN,UNKNOWN,95%,True,True,False,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,23,Post-hoc paired t-test for Wishful Identification (E6 vs. R),17,.005,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,24,Post-hoc paired t-test for Wishful Identification (E6 vs. E1),17,.006,,1.0,Cohen's d,UNKNOWN,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,25,"One-way repeated measures ANOVA for Perceived Competence (R, E1, E6)",17,.022,,1.0,ω²,0.012,UNKNOWN,UNKNOWN,95%,True,True,False,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,26,Post-hoc paired t-test for Perceived Competence (E1 vs. R),17,.027,,1.0,Cohen's d,0.722,UNKNOWN,UNKNOWN,95%,True,True,True,True,True,True,True
10.1145/3313831.3376661,virtual reality;human-centered computing;computer games;applied computing;consumer health,27,"One-way repeated measures ANOVA for ΔPower (R, E1, E6)",17,.077,,1.0,ω²,0.012,UNKNOWN,UNKNOWN,95%,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,1,Interval Estimation for Completion Time,18,UNKNOWN,,1.0,Mean Difference (Small Multiples vs. Animation),1.86s,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,1,Interval Estimation for Completion Time,18,UNKNOWN,,2.0,Mean Difference (Small Multiples vs. Glyph Map),4.41s,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,1,Interval Estimation for Completion Time,18,UNKNOWN,,3.0,Mean Difference (Animation vs. Glyph Map),2.55s,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,2,Interval Estimation for Error Rate,18,UNKNOWN,,1.0,Mean Error Rate (Small Multiples),1.46%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,2,Interval Estimation for Error Rate,18,UNKNOWN,,2.0,Mean Error Rate (Animation),1.76%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,2,Interval Estimation for Error Rate,18,UNKNOWN,,3.0,Mean Error Rate (Glyph Map),1.86%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,3,Interval Estimation for Confidence,18,UNKNOWN,,1.0,Confidence (Animation),76%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,3,Interval Estimation for Confidence,18,UNKNOWN,,2.0,Confidence (Small Multiples),66%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,3,Interval Estimation for Confidence,18,UNKNOWN,,3.0,Confidence (Glyph Map),63%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,4,Interval Estimation for Scope Task,18,UNKNOWN,,1.0,Completion Time,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,4,Interval Estimation for Scope Task,18,UNKNOWN,,2.0,Error Rate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,4,Interval Estimation for Scope Task,18,UNKNOWN,,3.0,Confidence,80%+,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,False,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,1.0,Completion Time (Animation),9.2s,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,2.0,Completion Time (Small Multiples),12.18s,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,3.0,Completion Time (Glyph Map),15.92s,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,4.0,Error Rate (Animation),7.41%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,5.0,Error Rate (Glyph Map),2.78%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,6.0,Error Rate (Small Multiples),4.63%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,7.0,Confidence (Animation),71%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,8.0,Confidence (Glyph Map),65%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,5,Interval Estimation for Direction Task,18,UNKNOWN,,9.0,Confidence (Small Multiples),52%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,6,Interval Estimation for Arrival Task,18,UNKNOWN,,1.0,Completion Time (Glyph Map),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,6,Interval Estimation for Arrival Task,18,UNKNOWN,,2.0,Completion Time (Small Multiples),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,6,Interval Estimation for Arrival Task,18,UNKNOWN,,3.0,Completion Time (Animation),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,6,Interval Estimation for Arrival Task,18,UNKNOWN,,4.0,Error Rate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,7,Interval Estimation for Hops Task,18,UNKNOWN,,1.0,Completion Time (Glyph Map),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,7,Interval Estimation for Hops Task,18,UNKNOWN,,2.0,Completion Time (Small Multiples),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,7,Interval Estimation for Hops Task,18,UNKNOWN,,3.0,Completion Time (Animation),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,7,Interval Estimation for Hops Task,18,UNKNOWN,,4.0,Error Rate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,7,Interval Estimation for Hops Task,18,UNKNOWN,,5.0,Confidence (Animation),80%+,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,7,Interval Estimation for Hops Task,18,UNKNOWN,,6.0,Confidence (Small Multiples),80%+,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,7,Interval Estimation for Hops Task,18,UNKNOWN,,7.0,Confidence (Glyph Map),45%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,1.0,Completion Time (Small Multiples),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,2.0,Completion Time (Glyph Map),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,3.0,Completion Time (Animation),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,4.0,Error Rate (Small Multiples),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,5.0,Error Rate (Glyph Map),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,6.0,Confidence (Small Multiples),58%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,7.0,Confidence (Glyph Map),56%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376350,geographic visualization;visualization;human-centered computing;empirical studies in visualization,8,Interval Estimation for Peaks Task,18,UNKNOWN,,8.0,Confidence (Animation),42%,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,1,t-test,11,< .05,,1.0,mean difference,20,UNKNOWN,UNKNOWN,95% CI,True,True,False,True,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,1,t-test,11,< .05,parents' participation rate,1.0,mean difference,20,UNKNOWN,UNKNOWN,95% CI,True,True,False,True,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,1,t-test,11,< .05,teachers' participation rate,1.0,mean difference,-34.4,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,2,t-test,11,< .05,,1.0,mean difference,3.5,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,2,t-test,11,< .05,ease of teaching sentence construction (parents),1.0,mean difference,3.5,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,2,t-test,11,< .05,ease of teaching sentence construction (teachers),1.0,mean difference,3.67,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,3,t-test,11,< .05,,1.0,mean difference,-2.29,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,3,t-test,11,< .05,mental demands,1.0,mean difference,-2.29,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,4,t-test,11,> .05,,1.0,mean difference,-1.86,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,4,t-test,11,> .05,temporal demands,1.0,mean difference,-1.86,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,5,t-test,11,> .05,,1.0,mean difference,-2.15,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,5,t-test,11,> .05,frustration level,1.0,mean difference,-2.15,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,6,t-test,11,< .05,,1.0,mean difference,1.43,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,6,t-test,11,< .05,level of consensus (overall),1.0,mean difference,1.43,UNKNOWN,UNKNOWN,95% CI,True,True,False,False,True,True,False
10.1145/3313831.3376154,accessibility systems and tools;accessibility;human-centered computing;computer supported cooperative work;social and professional topics,6,t-test,11,> .05,level of consensus (teachers),1.0,mean difference,2,UNKNOWN,UNKNOWN,95% CI,True,True,False,True,True,True,False
10.1145/3313831.3376518,computer-assisted instruction;applied computing,1,t-test,1987,< .01,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,1,t-test,1987,< .01,RS vs Linear,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,1,t-test,1987,< .01,RS vs Self-directed,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,2,chi-squared test,1987,< .05,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,2,chi-squared test,1987,< .05,RS vs Self-directed,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,2,chi-squared test,1987,> .05,RS vs Linear,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,3,linear regression,200,UNKNOWN,,1.0,slope,-0.60,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,4,chi-squared test,200,< .01,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,5,odds ratio,200,< .01,,1.0,odds ratio,1.99,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,5,odds ratio,200,< .01,,2.0,odds ratio,1.90,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,5,odds ratio,200,< .01,,3.0,odds ratio,2.82,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,5,odds ratio,200,< .01,,4.0,odds ratio,2.019,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376518,computer-assisted instruction;applied computing,5,odds ratio,200,< .01,,5.0,odds ratio,0.27,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,1,Mixed-Effect Linear Regression,902,0.99,,1.0,b,0.00006,0.05,-0.05,95% CI,True,True,True,False,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,1,Mixed-Effect Linear Regression,902,0.99,Age (35-54),1.0,b,0.00006,0.05,-0.05,95% CI,True,True,True,False,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,2,Mixed-Effect Linear Regression,902,0.33,,1.0,b,-0.04,0.03,-0.12,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,2,Mixed-Effect Linear Regression,902,0.33,Age (>55),1.0,b,-0.04,0.03,-0.12,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,3,Mixed-Effect Linear Regression,902,<0.01,,1.0,b,0.08,0.13,0.04,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,3,Mixed-Effect Linear Regression,902,<0.01,Gender (Men),1.0,b,0.08,0.13,0.04,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,4,Mixed-Effect Linear Regression,902,0.43,,1.0,b,0.08,0.25,-0.09,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,4,Mixed-Effect Linear Regression,902,0.43,Gender (Non-binary),1.0,b,0.08,0.25,-0.09,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,5,Mixed-Effect Linear Regression,902,0.33,,1.0,b,-0.03,0.02,-0.08,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,5,Mixed-Effect Linear Regression,902,0.33,"Income ($50,000-$100,000)",1.0,b,-0.03,0.02,-0.08,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,6,Mixed-Effect Linear Regression,902,0.13,,1.0,b,-0.06,0.004,-0.13,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,6,Mixed-Effect Linear Regression,902,0.13,"Income (>$100,000)",1.0,b,-0.06,0.004,-0.13,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,7,Mixed-Effect Linear Regression,902,0.09,,1.0,b,0.05,0.10,0.002,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,7,Mixed-Effect Linear Regression,902,0.09,Education (Bachelor's degree),1.0,b,0.05,0.10,0.002,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,8,Mixed-Effect Linear Regression,902,0.74,,1.0,b,0.02,0.09,-0.06,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,8,Mixed-Effect Linear Regression,902,0.74,Education (Graduate degree),1.0,b,0.02,0.09,-0.06,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,9,Mixed-Effect Linear Regression,902,<0.05,,1.0,b,0.09,0.16,0.02,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,9,Mixed-Effect Linear Regression,902,<0.05,Techbackground (Only IT),1.0,b,0.09,0.16,0.02,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,10,Mixed-Effect Linear Regression,902,0.16,,1.0,b,0.07,0.15,-0.01,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,10,Mixed-Effect Linear Regression,902,0.16,Techbackground (Only S&P),1.0,b,0.07,0.15,-0.01,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,11,Mixed-Effect Linear Regression,902,<0.001,,1.0,b,0.15,0.22,0.08,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,11,Mixed-Effect Linear Regression,902,<0.001,Techbackground (Both IT and S&P),1.0,b,0.15,0.22,0.08,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,12,Mixed-Effect Linear Regression,902,0.74,,1.0,b,-0.01,0.04,-0.06,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,12,Mixed-Effect Linear Regression,902,0.74,Priorexperience (Unauth. access: Yes),1.0,b,-0.01,0.04,-0.06,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,13,Mixed-Effect Linear Regression,902,0.09,,1.0,b,0.05,0.10,0.002,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,13,Mixed-Effect Linear Regression,902,0.09,Priorexperience (Data breach: Yes),1.0,b,0.05,0.10,0.002,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,14,Mixed-Effect Linear Regression,902,<0.001,,1.0,b,0.16,0.23,0.10,95% CI,True,True,True,True,True,True,False
10.1145/3313831.3376570,empirical studies in hci;human-centered computing;human and societal aspects of security and privacy;security and privacy;usability in security and privacy,14,Mixed-Effect Linear Regression,902,<0.001,Priorexperience (Identity theft: Yes),1.0,b,0.16,0.23,0.10,95% CI,True,True,True,True,True,True,False
