effectsize_measure,of_interest
GraphScape Rank,
Draco Rank,
AIC,not_relevant
Resistance decrease,
Preference for CurveBoard,
F1 score increase,
median d,
Absolute Offset,
Relative Offset,
Baseline Accuracy,
SVM Accuracy,
R_adj^2,yes
Percentage of letters typed with left hand,
R^2 (left hand same-side taps),yes
R^2 (right hand same-side taps),yes
R^2 (right to left alternate-side taps),yes
R^2 (left to right alternate-side taps),yes
η^2_p,yes
TER (Total Error Rate),
UER (Uncorrected Error Rate),
Auto-Complete Rate,
Top 1 Rank Percentage,
Bayes Factor (BF),
σ,
Improvement Percentage,
Slope Coefficient,
bindirect,
mean (AF),
mean (Multi-View),
mean SUS,
mean SUS (spatial guidance interface),
SD (spatial guidance interface),
mean SUS (guided light field capture),
SD (guided light field capture),
Mean Interaction Time (Real World),
Mean Interaction Time (VR),
Correctness-rate,
Win Rate (Word List A),
Win Rate (Word List B),
Mean response (Winners),
Mean response (Losers),
Average crossings,
Average link length variance,
Average incidence angle,
Average Wrappings,
Average Corner wrappings,
Average Answers on wrappings,
Average Answers on corner wrappings,
effect size,check test
partial eta-squared (ηp²),yes
Phi (ϕ),no
Cramer's Phi,check test
Generalized Eta-Squared (η²),
Average Task Time (Original),
Average Task Time (Metrics),
Average Task Time (Filter),
Average # Videos Clicked (Original),
Average # Videos Clicked (Metrics),
Average # Videos Clicked (Filter),
Cohen's Kappa (Overall Accessibility),
Cohen's Kappa (Q3),
Cohen's Kappa (Q4),
Cohen's Kappa (Q5),
Cohen's Kappa (Q6),
Pearson Correlation (Q3),yes
Pearson Correlation (Q4),yes
Pearson Correlation (Q5),yes
Pearson Correlation (Q6),yes
Grand Mean Increase,
Increase in SDNN,
Grand Mean Breathing Rate,
Perceived Effort,
Questions Completed,
Task Load,
Mean Breathing Rate,
Time on Target,
SDNN,
Breathing Rate,
Cohen's Kappa,not_relevant
"Average rating for ""easy to learn""",
"Average rating for ""easy to understand""",
"Average rating for ""easy to use""",
"Average rating for ""efficient creation""",
"Average rating for ""enjoyment""",
U value,
Pearson Correlation,yes
ICC,not_relevant
Norm. Brier,
Avg. Absolute Error,
sr,
Percentage of time spent working together,
Proportion of dangerous flashes,
Proportion of repeated patterns,
Proportion of red transitions,
Miss-rate,
Safe (PhotosensitivityPal),
Dangerous (PhotosensitivityPal),
No response (PhotosensitivityPal),
Safe (PEAT),
Dangerous (PEAT),
No response (PEAT),
F value,
μ (average rate of increase),
Z-value,
Value,
Mean Diff,
Mean r,
Task Completion Time (μ),
Task Completion Time (σ),
RMS Deviation (μ),
RMS Deviation (σ),
SUS Rating (μ),
SUS Rating (σ),
Task Completion Time (Mean),
Task Completion Time (P-Value),
RMS Error (Mean),
RMS Error (P-Value),
SUS Score (Mean),
SUS Score (P-Value),
Task Completion Time,
RMS Deviation,
Consistency,
Paired Mean Difference,
Divergence from Predispositions,
Conformity to Pre-Existing Majority,
Accuracy of Answering Manipulation Check,
Mean Consistency,
95% Confidence Interval,
Balance,
Range,
Mean (μ),not_relevant
Standard Deviation (σ),not_relevant
Kendall's tau,yes
F-Value,
Interaction Effect F-Value,
Wald χ2,
Error,
Time,
Subjective User Rank,
Factor Loadings,
Embedding-based metrics,
Aggregate-judge correlations,
CFI,not_relevant
TLI,not_relevant
RMSEA,not_relevant
Kaiser-Meyer-Olkin Measure of Sampling Adequacy (MSA),
Cronbach's Alpha for F1,
Cronbach's Alpha for F2,
Cronbach's Alpha for F3,
Cronbach's Alpha for F4,
Cronbach's Alpha for F5,
Cronbach's Alpha for F6,
Factor Loading (F1),
Communality (h2),
Uniqueness (u2),
Factor Loading (F2),
Factor Loading (F3),
Factor Loading (F4),
Factor Loading (F5),
Factor Loading (F6),
rho,yes
Mean Words Per Minute (WPM),
Mean Command Input Time (seconds),
Mean Command Input Error Rate (%),
Mean Word Error Rate (%),
Input Speed (WPM),
Character Error Rate (%),
Partial η² (η²_p),yes
Normalized Coefficient,
Cohen's κ,
A,
Cohen's drm,yes
Percentage Agree + Strongly Agree,
Percentage Agree + Strongly Agree (excluding No Opinion),
Mean difference in unique issues found,
Mean (Prediction),
Mean (Standard),
Mismatch Frequency (Prediction),
Mismatch Frequency (Standard),
Hypotheses Frequency (Prediction),
Hypotheses Frequency (Standard),
Post-Data Hypotheses Frequency (Prediction),
Post-Data Hypotheses Frequency (Standard),
Goal Frequency (Prediction),
Goal Frequency (Standard),
Observation Frequency (Prediction),
Observation Frequency (Standard),
Reasoning Frequency (Prediction),
Reasoning Frequency (Standard),
Belief Updates Frequency (Prediction),
Belief Updates Frequency (Standard),
Surprises Frequency (Prediction),
Surprises Frequency (Standard),
Average Number of Views (Prediction),
Average Number of Views (Standard),
Brushing-and-Linking Frequency (Prediction),
Brushing-and-Linking Frequency (Standard),
Average Time Spent (Prediction),
Average Time Spent (Standard),
Mean ranks S-type,
Mean ranks E-type,
rho coefficient,yes
Minimum Nodes,
Maximum Nodes,
Average Nodes,
Std Deviation Nodes,
Minimum Saccades,
Maximum Saccades,
Average Saccades,
Std Deviation Saccades,
FAWU,
Mean Activation Time,
Lower Effort,
Easier to Use,
More Privacy Activation,
Lower Mental Demand,
Lower Temporal Demand,
More Overall Performance,
Broader Applications,
More Want to Use Activation,
Broader Applications Activation,
Lower Frustration,
Easier to Continuous Input,
Preference,
Prediction Accuracy (%),
Correlation with Team Psychological Safety,check test
Correlation with Team Composition,check test
Correlation with Clear Direction,check test
Correlation with Team Cohesion,check test
Correlation with Team Efficacy,check test
Eta-squared,yes
Non-standardized regression weights (b),
B (Clarity),
B (Completeness),
B (Consistency),
B (Credibility),
B (Empathy),
Z (Agreeableness),
Z (Conscientiousness),
Z (Emotional Stability),
Z (Conscientiousness with RP style),
Z (Extraversion with RC style),
B (Agreeableness),
B (Emotional Stability),
B (Openness),
B (Extraversion),
B (Conscientiousness),
B (Confidence in Assessing Personality),
M (Clarity),
M (Completeness),
M (Consistency),
M (Credibility),
M (Empathy),
M (Completeness with RP style),
M (Credibility with RP style),
M (Empathy with RP style),
M (Clarity with RP style),
M (Consistency with RP style),
ρ (Rank of Picture Realism and Perceptions),check test
Mean Difference (μΔ),
Train Accuracy,
Test Accuracy,
Mean Difference (ScholarPhi vs Declutter),
Mean Difference (Declutter vs Basic),
Mean Difference (ScholarPhi vs Basic),
Complexity (Cop),
Accuracy (Acc),
Subjective Satisfaction Scores,
Information Richness Effect on Relative Allocation,
Information Richness Effect on Single-Story Allocation,
Information Richness Effect on Comparative Allocation,
Effect of Anonymization,
Affective Response (Valence and Arousal),
Correlation between Donation and Affect,check test
Top-1 Accuracy,
Top 0.01% Accuracy,
Top 0.1% Accuracy,
Top 1% Accuracy,
Top 5% Accuracy,
Top 10% Accuracy,
Normalized RMSE,
β_std,
exp(β_std),
\hat{\eta}^2_G,yes
β (Elbow-plane),
β (Elbow-sphere),
β (SHOULDER-PLANE),
β (ELBOW-SPHERE),
kappa,
coe,
DCI,
MIG,
Completion Rate,
Difficulty,
Error AUC,
Sum of Squares,
Mean (Suggestion),
Mean (Praise),
Mean (Self-Monitoring),
Mean (Reminder),
Mean (Social Role),
Z for Stress Level and Task Initiation,
t for Energy Level and Time Spent,
t for Energy Level and Number of Actions,
t for Stress Level and Number of Actions,
t for Stress Level and Time Spent,
t for Proactiveness and Number of Actions,
t for Proactiveness and Time Spent,
Z for Attention Required by Ongoing Activity,
Z for Perceived Mental Effort for Succeeding Activities,
t for NONE vs. SUCCEED,
t for NONE vs. PRECEDED,
t for NONE vs. BETWEEN,
t for NONE vs. WITHIN,
Correlation Coefficients for Task Attributes and Activity Attributes,check test
Correlation Coefficients for Stress Level and Task Choice,check test
Correlation Coefficients for Energy Level and Task Choice,check test
Standardized Beta,
Precision (on-table tasks),
Precision (in-hand tasks),
Recall (on-table tasks),
Recall (in-hand tasks),
Precision (out of camera sight task),
Precision (leaving away and back task),
Recall (leaving away and back task),
Mean Access Time (PanoTrack enabled),
Mean Access Time (traditional face authentication),
Median Temporal Demand (Auth+Track),
Median Temporal Demand (traditional face authentication),
Median Performance (Auth+Track),
Median Performance (traditional face authentication),
Median Willingness to Use (Auth+Track),
Median Willingness to Use (traditional face authentication),
Lambda (λ),
Concordance Statistic (c),
Mean Gain,
Unstandardized Regression Coefficient (B),
H-value,
Mean usability rating (VoiceOver),
Mean usability rating (Screen Recognition),
Difference in affective wellbeing per 10-point increment in technology satisfaction,
Difference in connectedness to others per 10-point increment in technology satisfaction,
Difference in affective wellbeing per total time spent with technology,
Difference in affective wellbeing per total time spent on social media,
"
        
         \\omega
        

         2
        
        ",check test
Exp(B),not_relevant
Tucker Lewis Index (TLI),
Mean (M) Modified,
Standard Deviation (SD) Modified,
Mean (M) Standard,
Standard Deviation (SD) Standard,
Intra Class Correlation Coefficient (κ),
Hazard Ratio,
Agreement Score (A),
Ease Ratings,
Match Ratings,
Pleasure Ratings,
Elicitation Time,
Identification Time,
Identifiability,
Initial Learnability,
Overall Learnability,
Memorability,
Gesture Performance Time,
Gesture Recall Time,
η²ₚ,yes
Average SUS,
StdDev SUS,
Score,
precision,
recall,
Nagelkerke's pseudo R^2,no
Activation Time (ms),
Completion Time (ms),
Borg Scale,
Selection Time (ms),
Success Rate (%),
Top-Level Selection Time (ms),
Second-Level Selection Time (ms),
Precision (Train),
Recall (Train),
F1 (Train),
Precision (Test),
Recall (Test),
F1 (Test),
Thumb Idle,
Thumb Move,
Index Idle,
Index Move,
Middle Idle,
Middle Move,
partial η2,yes
r (non-spatial layout),yes
r (spatial layout),yes
Constant,
Mean (SwapHQ),
Mean (SwapLQ),
Mean Difference (Eyes vs Mouth),
Mean Difference (Eyes vs Nose),
Mean (Real),
Mean (Swap),
Growth Ratio,
Weighted F1 Score,
Mean (Freehand),
Mean (Armature),
Mean (Patch),
F-Statistic (F),
ΔR²,maybe
Median Change,
Median Delete,
Median Insert,
Median Total,
CI,not_relevant
Count of ideas,
β (Tenure),
β (Posting Experience),
β (Post Frequency),
β (Seek IS),
β (Seek ES),
β (Receive IS),
β (Receive ES),
β (Seek IS x Receive IS),
β (Seek IS x Receive ES),
β (Seek ES x Receive IS),
β (Seek ES x Receive ES),
β (Tenure x Receive IS),
β (Posting Experience x Receive IS),
β (Tenure x Receive ES),
β (Posting Experience x Receive ES),
Rate of Pattern Exposure,
Rate of Active Pattern Exposure,
Rate of Pattern Acquisition,
Rate of Code Writing Transfer,
Rate of Actual Difficulty,
Correlation coefficient (r),yes
Partial eta-squared (ηp²),yes
rτ,check test
Bayes Factor (B01),
Bayes Factor (BF10),
D,check test
Bayes Factor (BF+0),
Bayes Factor,
Pillai Trace,
Wald-type statistic (WTS),
ANOVA-type statistic (ATS),
Relative Inertia,
Chi-Square Distance,
Sensitivity (Se),
Specificity (Sp),
Precision (Pr),
Retention Rate,not_relevant
Deviation,
Out-of-area proportion,
Velocity,
Correlation coefficient (adjusted R²),yes
Willingness,
Convenience,
Convenience in daily use,
Willingness to use,
Time (seconds),
β (Beta),
χ² (Chi-Square),
Moderate effect sizes observed,
Not specified,
Time reduction,
Average score for professional artists,
Average score for novice users,
Qualitative feedback,
% positive,
% preferred over Ours,
% preferred over Toric,
% preferred over Artist,
Time for Trend Estimation,
Accuracy for Extrema Estimation,
Time for Trend Detection,
SRMR,not_relevant
KMO,not_relevant
Bartlett's Test,
Cognitive Demand (B),
Exertional Demand (B),
Social Demand (B),
Cognitive Demand (Emotional Effort) (B),
TFI,
χ²(3),
χ²(2),
t(31),
χ²(4),
Median Readability Score (Top 15),
Median Readability Score (Bottom 15),
Frequency of Jargon Mention (English-speaking),
Frequency of Jargon Mention (Chinese-speaking),
Pearson's r (Length),yes
Pearson's r (Jargon),yes
Pearson's r (Sentence Structure),yes
Pearson's r (Vocabulary),yes
χ² (Length),
χ² (Jargon),
χ² (Sentence Structure),
χ² (Vocabulary),
Mean (Hard),
Mean (Moderate),
Mean (Easy),
Unstandardized Indirect Effect Coefficient,
Equal Error Rate (EER),
False Acceptance Rate (FAR),
Percentage of workspaces,
Precision (Opportunity Identification),
Recall (Opportunity Identification),
F1-score (Opportunity Identification),
Accuracy (Opportunity Identification),
Precision (Signal Identification),
Recall (Signal Identification),
F1-score (Signal Identification),
Accuracy (Signal Identification),
F1-score,
True C1 - Predicted C1,
True C1 - Predicted C2,
True C1 - Predicted C3,
True C2 - Predicted C1,
True C2 - Predicted C2,
True C2 - Predicted C3,
True C3 - Predicted C1,
True C3 - Predicted C2,
True C3 - Predicted C3,
η² (Eta-squared),yes
F1-Score,
Mean (Teleport + vMirror),
Standard Deviation (Teleport + vMirror),
Mean (Teleport),
Standard Deviation (Teleport),
Mean SUS (Teleport + vMirror),
Standard Deviation SUS (Teleport + vMirror),
Mean SUS (Teleport),
Standard Deviation SUS (Teleport),
Mean SSQ (Teleport + vMirror),
Standard Deviation SSQ (Teleport + vMirror),
Mean SSQ (Teleport),
Standard Deviation SSQ (Teleport),
Mean Disorientation (Teleport + vMirror),
Standard Deviation Disorientation (Teleport + vMirror),
Mean Disorientation (Teleport),
Standard Deviation Disorientation (Teleport),
AW (45°),
AD (45°),
IDangular (45°),
AW (90°),
AD (90°),
IDangular (90°),
Elasticity,
Vibration Magnitude,
Magnetic Field Strength,
Degree of Fatigue,
SUS Score,
Functionality,
Flexibility,
System Usability,
User Input,
Degree of Functionality,
Ambiguity in Functioning,
Adequacy for Tasks,
Ideal Interaction with Virtual Environment,
Control over Operations,
Perception of Making Errors,
Flexibility in Performing Tasks,
Possibility to Take Shortcuts,
System Working Against User,
Comfort of Use for Long Periods,
Difficulty to Learn,
System Working as Expected,
Benefits in Man-Machine Interaction Style,
Difficulty to Work in 3D,
Enjoyment of Use,
RTE,
t-statistic,
Percentage Increase in Ad Value (Activity Strategy),
Percentage Increase in Ad Value (Time Strategy),
$\u03B7 _{p}^{2}$,yes
Quality Score Increase,
Effectiveness Score Increase,
Trust Score Increase,
Transparency Score Increase,
Awareness Score Increase,
Learning Score Increase,
Satisfaction Score Increase,
Control Score Increase,
Correlation Coefficient (rs),
Coefficient (Self-reported class performance is avg or below),
Coefficient (# of algo awareness Qs correct),
Decrease in average retweet quality,
Effect on primary tweet quality,
Interaction effect on tweet quality,
Increase in partisan slant of retweets,
Effect on partisan slant of primary tweets,
Interaction effect on partisan slant,
Increase in language toxicity of retweets,
Effect on language toxicity of primary tweets,
Interaction effect on language toxicity,
Increase in number of retweets,
Increase in number of primary tweets,
Increase in number of retweets to rated sites,
Effect on number of primary tweets to rated sites,
mean (Static),
mean (Frequency),
mean (MCTS),
Pearson r,yes
Spearman ρ,yes
Difference in proportions,
Difference in proportions (grouped vs. randomized),
Difference in proportions (hover vs. static),
Difference in proportions (aligned vs. randomized),
Fixed effect coefficient,
Variance,
Success Rate,not_relevant
Mean Cognitive Load,
Speed (m/s),
Horizontal Acceleration (m/s^2),
Surface Realism,
Slider Realism,
Overall Comfort,
Experimenter Help,
Parent Help,
Invalid Input,
Machine Comprehension,
Younger,
Older,
Chi-square (χ²),not_relevant
β coefficient,
Support,
Lift,
"β (Length, week)",
"β (Length, day)",
β (Commitment upload),
β (Commitment word count),
β (Commitment character count),
β (Commitment average word length),
β (Referee),
β (Supporter),
β (Photo upload),
β (Post upload),
β (Post word count),
β (Post character count),
β (Post average word length),
β (Total stake),
β (Stake per period),
β (Recipient: Charity),
β (Recipient: Anti-charity),
β (Recipient: Friend),
"Accuracy (MLP, WN)",
"Accuracy (MLP, AN)",
"Accuracy (MLP, HN)",
"Accuracy (MLP, BN)",
"Accuracy (RNN, WN)",
"Accuracy (RNN, AN)",
"Accuracy (RNN, HN)",
"Accuracy (RNN, BN)",
Partial Eta Squared ($\eta_p^2$),yes
Median Learning Time,
Median Recall Time,
Number of Participants,
Selection Time,not_relevant
Crossings,
Votes,
Average Score,
log($),
τ,yes
β (Intercept),
β (Age),
β (Gender[Male]),
β (Race[Black or African American]),
β (Race[Hispanic or Latino/a/x]),
β (Race[White]),
β (Daily Browsing Length[less than 1 hr]),
β (Daily Browsing Length[less than 2 hrs]),
β (Daily Browsing Length[greater than 2 hrs]),
β (Need for Self-Reflection),
β (Insight),
β (Day),
β (# of Users Available on the Day),
r',check test
Cohen's r,check test
"ICC(1, k)",
Regression Coefficient for Empathy,
Regression Coefficient for Credibility,
Regression Coefficient for Justice,
Regression Coefficient for Impact,
Regression Coefficient for Attractiveness,
Correlation Coefficient for Empathy,check test
Correlation Coefficient for Credibility,check test
Correlation Coefficient for Justice,check test
Correlation Coefficient for Impact,check test
Correlation Coefficient for Attractiveness,check test
Precision (Mean ± SD),
Recall (Mean ± SD),
F1 (Mean ± SD),
β (variables),
β (lists),
MRTR,
NDCG,
F1 Score (Not Call),
F1 Score (Call),
F1 Score (Weighted Avg),
W (Kendall's W),
Average Precision,
R^2 (POM),yes
R^2 (Acrylic),yes
R^2 (PLA),yes
R^2 (FEA),yes
f-statistic,
z-score,
%ΔR (Single-Button Controller),
%ΔR (Volume Controller),
%ΔR (Media Control Buttons),
"Regression Coefficients (a, b, c', c, ab)",
lines of code,
OR (Odds Ratio),yes
Partial eta squared (η²),yes
r2,check test
Mean (Task Completion Time),
Mean (Mental Demand),
Mean (Physical Burden),
Mean (Duration),
Mean (Satisfaction),
Mean (Satisfaction Q1),
Mean (Satisfaction Q3),
Mean (Satisfaction Q4),
Mean (Satisfaction Q5),
Mean (NASA-TLX Q5),
Mean (NASA-TLX Q6),
Target Prediction Rate,
Max Prior Ratio,
Number of User Commands,
Iterations,
IG > 0 Iterations,
Proportion (Target in View),
Mean (View Size),
Mean (IG),
Partial eta-squared ($\eta_p^2$),yes
Partial eta squared,yes
b (Extraverted vs Average),
b (Introverted vs Average),
Wilks' Λ,
Median (Pre-video),
Median (Post-video),
\hat{\eta }^2_G,yes
Mean Salience,
Mean Trust Change,
Partial Eta Squared ($\eta^2_p$),yes
Z-score,
Wilk's λ,
Partial Eta Squared (η²ₚ),yes
R² Change,check test
Percentage Decrease,
WEAT Score (GloVe),
WEAT Score (GloVe Google News),
WEAT Score (GloVe*),
Average Power Draw (mW),
Mean Score,
Medium (Ref: AR),
Role (Ref: perceiver),
Disc (Ref: non-self-disclosure),
Intimacy,
Medium x Role,
Medium x Intimacy,
Role x Intimacy,
Medium x Disc,
Role x Disc,
Disc x Intimacy,
TCRave,
TCRstd,
DVEave,
DVEstd,
Average Similarity Score,
η,check test
N,
KS Statistic (D),
Failure % for Unique ImageButtons,
Failure % for Unique ImageViews,
Failure % for Combined Unique Image-Based Elements,
RBC,
eta_p^2,yes
Difference in mean percentage,
Difference in mean duration,
Difference in mean time,
Difference in mean scores,
Not provided,
Percentage Change,
Higher in C2,
Higher in C1,
"Decrease in C1, Increase in C2",
"Increase in both, more in C2",
"Decrease in both, more in C1",
"Increase in C1, Decrease in C2",
"Increase in both, more in C1",
Correlation coefficient (ρ),yes
AUROC,not_relevant
Mean (C1),
Mean (C2),
Overall Mean,
H statistic,
Median (Dr.XAI),
Median (Dr.AI),
R^2_m,yes
R^2_c,yes
deltaR2,
Mean (Direct Author),
Mean (Citation),
Mean (All Authors' h-index),
Mean (Clicked Authors' h-index),
Mean (High h-index),
Mean (Low h-index),
Mean (Unknown h-index),
Coefficient (Intercept),
Standard Error (SE),not_relevant
Coefficient (% Featured),
Coefficient (% Featured^2),
Coefficient (# of Total Papers),
Coefficient (Claimed Profile),
Coefficient (Receiver h-index),
Coefficient (% Featured × Claimed Profile),
Coefficient (% Featured^2 × Claimed Profile),
Coefficient (% Featured × Receiver h-index),
Coefficient (% Featured^2 × Receiver h-index),
Coefficient (Early Exposure),
Coefficient (Message (Citation)),
Coefficient (Interaction),
Coefficient (Message (Direct Author)),
Diff.,
AVG,
Coefficient (Constant),
Coefficient (Speaker’s Eyes),
Coefficient (Speakers’ Name),
Coefficient (Speakers’ Title),
Coefficient (Discussion Topic/Current News),
Coefficient (Logo of the channel),
Coefficient (Over the shoulder text),
Coefficient (Scrolling News),
Coefficient (Current Time and Temperature),
Coefficient (Speakers’ Social Network Handle),
Coefficient (Speakers’ Mouth),
Coefficient (Weather Map),
Coefficient (Listeners’ Face),
Coefficient (Speakers’ Location),
Coefficient (Listeners’ Location),
Coefficient (Program Title),
Coefficient (Score),
Coefficient (Player),
Coefficient (Timer),
Coefficient (Quarter),
Coefficient (Players’ Stat),
Coefficient (ASL signers’ face),
Coefficient (ASL signers’ hand),
R_{sp}^{2},check test
Mean (M) before,
Standard Deviation (SD) before,
Mean (M) after,
Standard Deviation (SD) after,
TER (%),
FT (ms),
HT (ms),
Sugg,
AutoC,
Privacy,
Effort,not_relevant
Acceptance Q1,
Coin Collection Time (CCT),
Coin Offset,
Number of Teleportations,
VRS Range,
IPQ General Presence (GP),
IPQ Spatial Presence (SP),
IPQ Involvement (INV),
IPQ Experienced Realism (ER),
Intuitivity,
Orientation,
Frequency of Use,
Speed of Finding,
Fatigue,
Chi-squared test statistic,
Inter-rater reliability,
Average rating (abstract),
Average rating (figurative),
Average rating (Western),
Average rating (Non-Western),
Average rating (premodern),
Average rating (modern),
Average rating (digital),
Average rating (abstract-abstract),
Average rating (abstract-concrete),
Average rating (figurative-abstract),
Average rating (figurative-concrete),
Position Error MPJPE (m),
Rotation Error MPJRE (rad),
Difference of medians,
MedAE,
IQR,
Least Squares Mean Difference,
Preference Count,
Reposting percentage for super-topic,
Reposting percentage for regular posting,
Type,
FF,
"FF, FSz, FSt, FW",
P,
"BW, M, P, W",
C,
"BgC, C, FSt, O, TD",
BR,
"BC, BR, C, FSz, W",
FSz,
"BR, BW, H, P, W",
BW,
"BC, BR, BW, C, W",
TA,
"H, M, P, W",
"BR, H, M, P",
"BW, C, H, P, W",
"BW, H, M, P, W",
AUCmicro,
AUCmacro,
IT_est (bits),
Error rate,
Weighted score,
Mean Acceptability,
Not at all Accepting,
Somewhat Accepting,
Moderately Accepting,
Very Accepting,
Extremely Accepting,
F-Statistic,
β (Is Female),
β (Friend count),
β (Account tenure),
β (Perceived time spent),
β (Beliefs about FB),
β (Beliefs about FB X time spent),
β (Actual time spent),
β (Time spent),
β (Time spent source: Perceived time),
β (Beliefs about FB X Time spent),
β (Beliefs about FB X Source (Perceived time)),
β (Time spent X Source (Perceived time)),
β (Beliefs about FB X Time spent X Source (Perceived time)),
β (Overestimation of time spent),
β (Subjective well-being),
β (Beliefs about FB X Actual time spent),
β (Priming effect on well-being),
eta-squared (η²[H]),yes
eta-squared (η²),yes
Character accuracy,
Word accuracy,
Character accuracy (seated),
Word accuracy (seated),
Character accuracy (walking),
Word accuracy (walking),
Speed (WPM) Session 1,
Speed (WPM) Session 2,
Speed (WPM) Session 3,
Accuracy (%) Session 1,
Accuracy (%) Session 2,
Accuracy (%) Session 3,
Median search-time,
BF_excl,
BF_10,
Cohen's δ,check test
ε² (epsilon squared),yes
ω² (omega squared),yes
Transition Probabilities,
Emission Probabilities,
Pearson Residuals,
Proportion difference,
Median difference,
Words Per Minute (WPM),
Character Error Rate (CER),
Count of Errors,
Percentage of Agreement,
Coverage Percentage,
Time in seconds,
Kendall's τ,yes
Outcome,
F-statistic (F),
G2,
x2,
Path Coefficient,
Chi-Square Statistic,
H Statistic,
t Statistic,
Recognition Rate,
Accuracy (Window-level),
F1 Score (Window-level),
False Positive Rate (Window-level),
Accuracy (Gesture-level),
F1 Score (Gesture-level),
False Positive Count per Hour (Gesture-level),
False Positive Rate (Non-gestures),
False Positive Count per Hour (Non-gestures),
McFadden's pseudo R^2,no
Δ Adj. R^2,yes
Δ Adjusted R^2,yes
Explained Variance,
α,not_relevant
UEQ Pragmatic,
UEQ Hedonic,
UEQ Reliability Pragmatic,
UEQ Reliability Hedonic,
UEQ Reliability Overall,
% Variance explained,
Pragmatic,
Hedonic,
CLES,
$\u03b6_m^1$,no
$\u03b6_m^2$,no
$\u03b6_m^3$,no
$\u03b6_m^4$,no
$\u03b6_m^5$,no
$\u03b6_m^6$,no
Totally disagreed,
Disagreed,
Agreed,
Totally agreed,
Excessmass,
No visualisation,
Relational,
Absolute,
Condition (Relational),
Condition (Absolute),
Task (Repositioning),
Task (Including),
Task (Providing),
Number of interactions,
Time spent,
Zone size,
Gender (male),
Age,
Condition (Relational) : Task (Repositioning),
Condition (Absolute) : Task (Repositioning),
Condition (Relational) : Task (Including),
Condition (Absolute) : Task (Including),
Condition (Relational) : Task (Providing),
Condition (Absolute) : Task (Providing),
Suggestion Count (95% CI),
Attempt Count (95% CI),
JND,not_relevant
Lower Bound (t1),
Upper Bound (t2),
Mean Time,not_relevant
η²g,yes
γ,not_relevant
Tjur's R2,no
Mean AI Score,
Mean Interpersonal Emphasis Rating,
Beta (Age),
Beta (Gender),
Beta (Ethnicity),
Beta (Interpersonal Emphasis),
Beta (Condition),
Beta (Interpersonal Emphasis * Condition),
Beta (Subject Expertise),
Beta (Propensity to Trust),
Beta (Computer Attitude),
Beta (AI Attitude),
Cliff's delta (d),
"Mean Normalized Task Completion Time (PathFinder, Route 1)",not_relevant
"Mean Normalized Task Completion Time (Topline, Route 1)",not_relevant
"Mean Normalized Task Completion Time (PathFinder, Route 2)",not_relevant
"Mean Normalized Task Completion Time (Topline, Route 2)",not_relevant
Median Usability Score (Q4),not_relevant
Median Usability Score (Q5),not_relevant
Median Usability Score (Q6),not_relevant
Median Usability Score (Q7),not_relevant
Median Usability Score (Q8),not_relevant
Controllability Preference,not_relevant
False Positive Intersection Detections,not_relevant
Correct Intersection Detections,not_relevant
Partially Correct Intersection Detections,not_relevant
Failed Intersection Detections,not_relevant
Battery Life,not_relevant
ATS,not_relevant
PSE,not_relevant
Exploration Time,not_relevant
Difficulty Estimation,not_relevant
Relative effect,not_relevant
WER,not_relevant
BLEU,not_relevant
Correct Rate,not_relevant
Incorrect Rate,not_relevant
Relative Error (Vector Charts),not_relevant
Relative Error (Rasterized Charts),not_relevant
Missing Rate,not_relevant
Unwanted Rate,not_relevant
Relative Error (Raster Charts),not_relevant
Spearman r,yes
Posterior Mean,not_relevant
Mean Difference D,not_relevant
R² (Strange Brigade),yes
R² (Valorant),yes
R² (Rocket League),yes
Acceptable Fraction (QoE 4-5),not_relevant
Acceptable Fraction (QoE 3),not_relevant
Median number of courses,not_relevant
Mean number of courses,not_relevant
Standard deviation of number of courses,not_relevant
Median total hours,not_relevant
Mean total hours,not_relevant
Standard deviation of total hours,not_relevant
Median GPA gain (Γs),not_relevant
Mean GPA gain (Γs),not_relevant
Standard deviation of GPA gain (Γs),not_relevant
Perceived Accessibility,not_relevant
Legibility and Cognitive Load,not_relevant
Speech Accessibility Metrics,not_relevant
Identification Duration,not_relevant
Information Transfer (IT),not_relevant
Number of Patterns Identified,not_relevant
Coefficient for Total words,not_relevant
Coefficient for (M) words ratio,not_relevant
Coefficient for (L) self disclosure,not_relevant
Coefficient for (M) self disclosure,not_relevant
Coefficient for Median response time,not_relevant
Coefficient for Linguistic style matching,not_relevant
Coefficient for Topic matching,not_relevant
Coefficient for (M) age,not_relevant
Coefficient for (M) avg. hearts given,not_relevant
Coefficient for (M) avg. hearts received,not_relevant
Coefficient for (M) # of past conversations,not_relevant
Coefficient for (M) # of forum upvotes given,not_relevant
Coefficient for (M) Prior mood,not_relevant
Coefficient for (L) age,not_relevant
Coefficient for (L) avg. hearts received,not_relevant
Coefficient for (L) # of past conversations,not_relevant
Coefficient for (L) badge count,not_relevant
Coefficient for (L) # of forum upvotes given,not_relevant
Coefficient for Romantic Relationship,not_relevant
Coefficient for Dating,not_relevant
Coefficient for Pandemic,not_relevant
Coefficient for Self-improvement,not_relevant
Coefficient for Suicide,not_relevant
Coefficient for Depression,not_relevant
Coefficient for Parents,not_relevant
Coefficient for Anxiety,not_relevant
Coefficient for Family,not_relevant
Coefficient for Stress,not_relevant
Coefficient for Lonely,not_relevant
Coefficient for Overwhelming,not_relevant
