"doi","topics","test_id","test_name","N","test_p_value","factor","effectsize_id","effectsize_measure","effectsize_value","CI_upper","CI_lower","CI_type","year","testnames_unified","is_rm","of_interest","effectsize_measure_unified","specifiers","to_manipulate","N_found","test_p_value_found","effectsize_measure_found","effectsize_value_found","CI_upper_found","CI_lower_found","CI_type_found","is_valid","converted_r_es"
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",9,"mann whitney u test","360",".06","awareness of CA/FB",1,"r",0.09,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.09
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",10,"mann whitney u test","360",".04","awareness of CA/FB",1,"r",0.13,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.13
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",11,"mann whitney u test","360","<.01","awareness of CA/FB",1,"r",0.16,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.16
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",12,"mann whitney u test","360","<.01","awareness of CA/FB",1,"r",0.17,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.17
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",13,"mann whitney u test","360","<.001","awareness of CA/FB",1,"r",0.22,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.22
"10.1145/3313831.3376524","empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing",3,"t-test","1200","< .0001","",1,"d",1.67,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"t-test","unclear","yes","cohens_d","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.813992655415456
"10.1145/3313831.3376524","empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing",4,"t-test","1200","< .0001","",1,"d",0.33,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"t-test","unclear","yes","cohens_d","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.206754454401367
"10.1145/3313831.3376524","empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing",6,"t-test","1200","< .0001","",1,"d",0.78,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"t-test","unclear","yes","cohens_d","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.461448501144388
"10.1145/1122445.1122456","empirical studies in hci;human-centered computing",1,"mixed design repeated measures anova","183","< .001","",1,"η²",0.428,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.654217089351845
"10.1145/1122445.1122456","empirical studies in hci;human-centered computing",2,"interaction effect between hiv status disclosure and interface design conditions","183",".016","",1,"η²",0.031,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"","unclear test","yes","eta_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.17606816861659
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","< 0.001","",3,"Partial Eta Squared",0.04,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.2
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","< 0.001","",4,"Partial Eta Squared",0.004,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0632455532033676
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","< 0.001","",5,"Partial Eta Squared",0.03,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.173205080756888
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","< 0.001","Color",1,"Partial Eta Squared",0.51,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.714142842854285
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","< 0.001","Animation",1,"Partial Eta Squared",0.08,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.282842712474619
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","0.047","Color * Animation",1,"Partial Eta Squared",0.04,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.2
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","0.21","Message",1,"Partial Eta Squared",0.004,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0632455532033676
"10.1145/3313831.3376325","user studies;human-centered computing",3,"mixed anova","375","0.008","Color * Message",1,"Partial Eta Squared",0.03,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mixed anova","RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.173205080756888
"10.1145/3313831.3376575","usability in security and privacy;security and privacy;social and professional topics",8,"rmanova","524","< 0.05","",1,"Cohen's f",0.95,"UNKNOWN","UNKNOWN","95% CI",2020,"repeated measures anova","RM","yes","cohens_f","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.87471181663166
"10.1145/3313831.3376575","usability in security and privacy;security and privacy;social and professional topics",10,"rmanova","474","< 0.05","",1,"Cohen's f",0.76,"UNKNOWN","UNKNOWN","95% CI",2020,"repeated measures anova","RM","yes","cohens_f","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.768455749767619
"10.1145/3313831.3376575","usability in security and privacy;security and privacy;social and professional topics",11,"rmanova","464","< 0.05","",1,"Cohen's f",0.67,"UNKNOWN","UNKNOWN","95% CI",2020,"repeated measures anova","RM","yes","cohens_f","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.706902174255496
"10.1145/3313831.3376575","usability in security and privacy;security and privacy;social and professional topics",12,"t-test","257","< 0.05","",1,"Cohen's d",0.71,"UNKNOWN","UNKNOWN","95% CI",2020,"t-test","unclear","yes","cohens_d","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.424871947688053
"10.1145/3411764.3445397","empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing",10,"ordinary least squares (ols) model for popularity","1363","< 0.0001","",1,"R²",0.11,"UNKNOWN","UNKNOWN","95% CI",2021,"linear regression","not_RM","yes","r_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.33166247903554
"10.1145/3411764.3445164","authentication;security and privacy;usability in security and privacy;participatory design;human-centered computing;interface design prototyping",1,"roy's largest root","130","0.03","",1,"ηp2",0.0789,"UNKNOWN","UNKNOWN","UNKNOWN",2021,"","unclear test","yes","eta_squared","partial",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.280891438103763
"10.1145/3411764.3445164","authentication;security and privacy;usability in security and privacy;participatory design;human-centered computing;interface design prototyping",2,"one-way anova on threat models","130","0.07","",1,"ηp2",0.0759,"UNKNOWN","UNKNOWN","UNKNOWN",2021,"anova","not_RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.275499546279118
"10.1145/3411764.3445164","authentication;security and privacy;usability in security and privacy;participatory design;human-centered computing;interface design prototyping",5,"one-way anova on sus","130","0.77","",1,"partial η2",0.0235,"UNKNOWN","UNKNOWN","UNKNOWN",2021,"anova","not_RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.153297097167559
"10.1145/3411764.3445164","authentication;security and privacy;usability in security and privacy;participatory design;human-centered computing;interface design prototyping",6,"one-way anova on ueq-s","130","0.77","",1,"partial η2",0.0121,"UNKNOWN","UNKNOWN","UNKNOWN",2021,"anova","not_RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.11
"10.1145/3411764.3445164","authentication;security and privacy;usability in security and privacy;participatory design;human-centered computing;interface design prototyping",7,"one-way anova on perceived security","130","0.51","",1,"partial η2",0.0387,"UNKNOWN","UNKNOWN","UNKNOWN",2021,"anova","not_RM","yes","eta_squared","partial",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.19672315572906
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",2,"pearson correlation","50 (initially), 19 (after filtering)","0.0016 (general), 0.0075 (filtered)","",1,"Pearson's r",-0.42,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.42
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",2,"pearson correlation","50 (initially), 19 (after filtering)","0.0016 (general), 0.0075 (filtered)","",2,"Pearson's r",-0.59,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.59
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",3,"pearson correlation","50 (initially), 34 (after filtering)","0.031229 (general), 0.0205 (filtered)","",1,"Pearson's r",-0.29352,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.29352
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",3,"pearson correlation","50 (initially), 34 (after filtering)","0.031229 (general), 0.0205 (filtered)","",2,"Pearson's r",-0.39,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.39
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",4,"pearson correlation","50 (initially), reduced number not specified",">0.05 (general), >0.05 (filtered)","",1,"Pearson's r",-0.19,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.19
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",4,"pearson correlation","50 (initially), reduced number not specified",">0.05 (general), >0.05 (filtered)","",2,"Pearson's r",-0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.32
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",5,"pearson correlation","Not specified","0.0072 (general), 0.0041 (filtered)","",1,"Pearson's r",0.36,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.36
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",5,"pearson correlation","Not specified","0.0072 (general), 0.0041 (filtered)","",2,"Pearson's r",0.63,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.63
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",6,"pearson correlation","Not specified",">0.05 (general), >0.05 (filtered)","",1,"Pearson's r",-0.08,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.08
"10.1145/3491102.3517570","human computer interaction (hci);human-centered computing;hci design and evaluation methods",6,"pearson correlation","Not specified",">0.05 (general), >0.05 (filtered)","",2,"Pearson's r",-0.12,"UNKNOWN","UNKNOWN","UNKNOWN",2022,"pearson correlation","not_RM","yes","pearsons_r","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.12
