"effectsize_measure","effectsize_measure_unified","specifiers","of_interest"
"Total Count of Labels Read (Audio)",NA,NA,"not_relevant"
"Δ (Delta)",NA,NA,"not_relevant"
"Performance Increase",NA,NA,"not_relevant"
"p-value",NA,NA,"not_relevant"
"Association with social engagement",NA,NA,"not_relevant"
"Association with interpersonal behavior",NA,NA,"not_relevant"
"Association with prosocial activities",NA,NA,"not_relevant"
"Association with recreation",NA,NA,"not_relevant"
"Association with independence-competence",NA,NA,"not_relevant"
"Association with independence-performance",NA,NA,"not_relevant"
"Association with employment",NA,NA,"not_relevant"
"Pearson r-value (5-fold cross validation)","pearsons_r","","yes"
"Test MAE/RMSE (5-fold cross validation)",NA,NA,"not_relevant"
"vs. baseline MAE/RMSE (5-fold cross validation)",NA,NA,"not_relevant"
"Pearson r-value (leave-one-subject-out)","pearsons_r","","yes"
"Per-user error mean(std) (leave-one-subject-out)",NA,NA,"not_relevant"
"Pearson r-value (customized leave-one-subject-out)","pearsons_r","","yes"
"Per-user error mean(std) (customized leave-one-subject-out)",NA,NA,"not_relevant"
"SE",NA,NA,"not_relevant"
"Underestimation rate",NA,NA,"not_relevant"
"Overestimation rate",NA,NA,"not_relevant"
"Perception Frequency Range (Finger Pad)",NA,NA,"not_relevant"
"Perception Frequency Range (Temple)",NA,NA,"not_relevant"
"Just-Noticeable-Difference (JND)",NA,NA,"not_relevant"
"Point of Subjective Equality (PSE)",NA,NA,"not_relevant"
"Completion Time",NA,NA,"not_relevant"
"Motion Sickness",NA,NA,"not_relevant"
"Weber Fraction (WF)",NA,NA,"not_relevant"
"Frequency",NA,NA,"not_relevant"
"Overall Classification Accuracy",NA,NA,"not_relevant"
"Within-user Classification Accuracy",NA,NA,"not_relevant"
"Between-user Classification Accuracy",NA,NA,"not_relevant"
"Overall Button Click Detection Accuracy",NA,NA,"not_relevant"
"ANOVA F-value for Button Click Recognition Accuracies",NA,NA,"not_relevant"
"ANOVA p-value for Button Click Recognition Accuracies",NA,NA,"not_relevant"
"ANOVA F-value for Slide Time",NA,NA,"not_relevant"
"ANOVA p-value for Slide Time",NA,NA,"not_relevant"
"Overall Detection Accuracy",NA,NA,"not_relevant"
"Within-user Sensing Accuracy",NA,NA,"not_relevant"
"Between-user Sensing Accuracy",NA,NA,"not_relevant"
"Kendall's W",NA,NA,"not_relevant"
"Chi-squared (χ²)",NA,NA,"not_relevant"
"ICC for Readability",NA,NA,"not_relevant"
"ICC for Coherence",NA,NA,"not_relevant"
"Accuracy Improvement",NA,NA,"not_relevant"
"Standard Deviation Increase",NA,NA,"not_relevant"
"η^2_G","eta_squared","generalized","yes"
"Accuracy for Tension Force Intensities",NA,NA,"not_relevant"
"Accuracy for Resistance Force Intensities",NA,NA,"not_relevant"
"Accuracy for Impact Force Intensities",NA,NA,"not_relevant"
"Accuracy for Material Rigidities",NA,NA,"not_relevant"
"Accuracy for Tension Force Directions",NA,NA,"not_relevant"
"Realism Rating",NA,NA,"not_relevant"
"Enjoyment Rating",NA,NA,"not_relevant"
"Average Force (Heavy)",NA,NA,"not_relevant"
"Average Force (Medium)",NA,NA,"not_relevant"
"Average Force (Light)",NA,NA,"not_relevant"
"Mean (Callisto)",NA,NA,"not_relevant"
"Mean (Control)",NA,NA,"not_relevant"
"partial eta-squared","eta_squared","partial","yes"
"Slope (dX)",NA,NA,"not_relevant"
"Intercept (dX)",NA,NA,"not_relevant"
"R-squared (dX)","r_squared","","yes"
"Slope (dY)",NA,NA,"not_relevant"
"Intercept (dY)",NA,NA,"not_relevant"
"R-squared (dY)","r_squared","","yes"
"Mean Difference (Small Multiples vs. Animation)",NA,NA,"not_relevant"
"Mean Difference (Small Multiples vs. Glyph Map)",NA,NA,"not_relevant"
"Mean Difference (Animation vs. Glyph Map)",NA,NA,"not_relevant"
"Mean Error Rate (Small Multiples)",NA,NA,"not_relevant"
"Mean Error Rate (Animation)",NA,NA,"not_relevant"
"Mean Error Rate (Glyph Map)",NA,NA,"not_relevant"
"Confidence (Animation)",NA,NA,"not_relevant"
"Confidence (Small Multiples)",NA,NA,"not_relevant"
"Confidence (Glyph Map)",NA,NA,"not_relevant"
"Error Rate",NA,NA,"not_relevant"
"Confidence",NA,NA,"not_relevant"
"Completion Time (Animation)",NA,NA,"not_relevant"
"Completion Time (Small Multiples)",NA,NA,"not_relevant"
"Completion Time (Glyph Map)",NA,NA,"not_relevant"
"Error Rate (Animation)",NA,NA,"not_relevant"
"Error Rate (Glyph Map)",NA,NA,"not_relevant"
"Error Rate (Small Multiples)",NA,NA,"not_relevant"
"log absolute error difference",NA,NA,"not_relevant"
"log absolute error mean difference",NA,NA,"not_relevant"
"seconds",NA,NA,"not_relevant"
"Mean (Tangible)",NA,NA,"not_relevant"
"Mean (Voice)",NA,NA,"not_relevant"
"Mean (Smartphone)",NA,NA,"not_relevant"
"mean similarity difference",NA,NA,"not_relevant"
"mean similarity",NA,NA,"not_relevant"
"B0+",NA,NA,"not_relevant"
"Percentage Answered",NA,NA,"not_relevant"
"Percentage Accurate",NA,NA,"not_relevant"
"steps of improvement on 5-point Likert scale",NA,NA,"not_relevant"
"within-user R2","r_squared","","yes"
"cross-user R2","r_squared","","yes"
"classification",NA,NA,"not_relevant"
"ranking",NA,NA,"not_relevant"
"Stress level diff",NA,NA,"not_relevant"
"Coeff.",NA,NA,"not_relevant"
"Estimates",NA,NA,"not_relevant"
"accuracy",NA,NA,"not_relevant"
"Mean (Standard Deviation)",NA,NA,"not_relevant"
"median difference",NA,NA,"not_relevant"
"Source Type",NA,NA,"not_relevant"
"Condition",NA,NA,"not_relevant"
"Interaction (Source Type x Condition)",NA,NA,"not_relevant"
"3-way Interaction (Participant Partisanship x Source Type x Condition)",NA,NA,"not_relevant"
"2-way Interaction (Participant Partisanship x Source Type)",NA,NA,"not_relevant"
"Control",NA,NA,"not_relevant"
"Treatment",NA,NA,"not_relevant"
"Democrats (Control)",NA,NA,"not_relevant"
"Democrats (Treatment)",NA,NA,"not_relevant"
"Republicans (Control)",NA,NA,"not_relevant"
"Republicans (Treatment)",NA,NA,"not_relevant"
"Familiarity",NA,NA,"not_relevant"
"Interaction (Familiarity x Source Type)",NA,NA,"not_relevant"
"t value",NA,NA,"not_relevant"
"mean (music playing)",NA,NA,"not_relevant"
"std (music playing)",NA,NA,"not_relevant"
"mean (no music)",NA,NA,"not_relevant"
"std (no music)",NA,NA,"not_relevant"
"ω","omega","","maybe"
"Average",NA,NA,"not_relevant"
"Longest streak",NA,NA,"not_relevant"
"Average streak",NA,NA,"not_relevant"
"MA app",NA,NA,"not_relevant"
"MA skill",NA,NA,"not_relevant"
"Mean pos",NA,NA,"not_relevant"
"Mean neg",NA,NA,"not_relevant"
"Mean pos-neg",NA,NA,"not_relevant"
"SD pos",NA,NA,"not_relevant"
"SD neg",NA,NA,"not_relevant"
"SD pos-neg",NA,NA,"not_relevant"
"Negative emotions (sadness, fear)",NA,NA,"not_relevant"
"Joy",NA,NA,"not_relevant"
"Anger, Disgust",NA,NA,"not_relevant"
"Other emotions",NA,NA,"not_relevant"
"First person plural pronouns",NA,NA,"not_relevant"
"Second person pronouns",NA,NA,"not_relevant"
"Difference (We - You)",NA,NA,"not_relevant"
"Encouragement: Sentences Ratio",NA,NA,"not_relevant"
"Average length of support message (sentences)",NA,NA,"not_relevant"
"Average length of support message (words)",NA,NA,"not_relevant"
"SocialBehavior",NA,NA,"not_relevant"
"Abstraction",NA,NA,"not_relevant"
"Action Verbs",NA,NA,"not_relevant"
"InstrumentalBehavior",NA,NA,"not_relevant"
"TemporalReferences",NA,NA,"not_relevant"
"Mean words (more successful)",NA,NA,"not_relevant"
"Mean sentences (more successful)",NA,NA,"not_relevant"
"Mean words (less successful)",NA,NA,"not_relevant"
"Mean sentences (less successful)",NA,NA,"not_relevant"
"Estimate for Actual time",NA,NA,"not_relevant"
"Estimate for Actual sessions",NA,NA,"not_relevant"
"Estimate for Age",NA,NA,"not_relevant"
"Estimate for Gender:Male",NA,NA,"not_relevant"
"Estimate for Gender:Other",NA,NA,"not_relevant"
"Estimate for Brazil",NA,NA,"not_relevant"
"Estimate for France",NA,NA,"not_relevant"
"Estimate for Indonesia",NA,NA,"not_relevant"
"Estimate for Mexico",NA,NA,"not_relevant"
"Estimate for Philippines",NA,NA,"not_relevant"
"Estimate for Thailand",NA,NA,"not_relevant"
"Estimate for Vietnam",NA,NA,"not_relevant"
"Estimate for Spain",NA,NA,"not_relevant"
"Authenticity Score Change",NA,NA,"not_relevant"
"Average Duration (Treatment)",NA,NA,"not_relevant"
"Average Duration (Control)",NA,NA,"not_relevant"
"Mean (GroupfeedBot)",NA,NA,"not_relevant"
"Mean (basic chatbot)",NA,NA,"not_relevant"
"Mean (Basic)",NA,NA,"not_relevant"
"Mean (GFB)",NA,NA,"not_relevant"
"SD (Basic)",NA,NA,"not_relevant"
"SD (GFB)",NA,NA,"not_relevant"
"Gini (Basic)",NA,NA,"not_relevant"
"Gini (GFB)",NA,NA,"not_relevant"
"Mean Completion Time",NA,NA,"not_relevant"
"Pseudo-R²",NA,NA,"no"
"β (Positive Affect)",NA,NA,"not_relevant"
"β (Negative Affect)",NA,NA,"not_relevant"
"Cohen's d (Noticing vs. Synchronizing)","cohens_d","","yes"
"Cohen's d (Differentiating vs. Synchronizing)","cohens_d","","yes"
"β (Reappraisal)",NA,NA,"not_relevant"
"β (Distraction)",NA,NA,"not_relevant"
"Mean (WRAPI)",NA,NA,"not_relevant"
"Mean (Coding)",NA,NA,"not_relevant"
"ED_avg",NA,NA,"not_relevant"
"Error Rate (One Finger)",NA,NA,"not_relevant"
"Error Rate (Two Fingers)",NA,NA,"not_relevant"
"Boost (%)",NA,NA,"not_relevant"
"Screen-in Rate Pre-Deployment",NA,NA,"not_relevant"
"Screen-in Rate Post-Deployment",NA,NA,"not_relevant"
"Screen-in Rate for Underestimated Scores (Shown Score 11-15)",NA,NA,"not_relevant"
"Screen-in Rate for Other Scores (Shown Score 11-15)",NA,NA,"not_relevant"
"Screen-in Rate for Black Children Pre-Deployment",NA,NA,"not_relevant"
"Screen-in Rate for Black Children Post-Deployment",NA,NA,"not_relevant"
"Screen-in Rate for White Children Pre-Deployment",NA,NA,"not_relevant"
"Screen-in Rate for White Children Post-Deployment",NA,NA,"not_relevant"
"Percentage choosing balanced option",NA,NA,"not_relevant"
"Percentage choosing selfish option",NA,NA,"not_relevant"
"Percentage choosing balanced option (VIZ)",NA,NA,"not_relevant"
"Percentage choosing balanced option (NOVIZ)",NA,NA,"not_relevant"
"Percentage choosing Share (VIZ)",NA,NA,"not_relevant"
"Percentage choosing Share (NOVIZ)",NA,NA,"not_relevant"
"correlation coefficient",NA,NA,"not_relevant"
"$\u03B7 _G^2$","eta_squared","generalized","yes"
"Mean (SD) for BPH",NA,NA,"not_relevant"
"Median for BPH",NA,NA,"not_relevant"
"Mean (SD) for MCWS",NA,NA,"not_relevant"
"Median for MCWS",NA,NA,"not_relevant"
"Mean (SD) for CTEG",NA,NA,"not_relevant"
"Median for CTEG",NA,NA,"not_relevant"
"Mean (SD) for AAT",NA,NA,"not_relevant"
"Median for AAT",NA,NA,"not_relevant"
"Mean (SD) for APA",NA,NA,"not_relevant"
"Median for APA",NA,NA,"not_relevant"
"No Assistance for BPH",NA,NA,"not_relevant"
"Physical Assistance for BPH",NA,NA,"not_relevant"
"Technical Assistance for BPH",NA,NA,"not_relevant"
"Educational Assistance for BPH",NA,NA,"not_relevant"
"Medical Assistance for BPH",NA,NA,"not_relevant"
"No Assistance for MCWS",NA,NA,"not_relevant"
"Physical Assistance for MCWS",NA,NA,"not_relevant"
"Technical Assistance for MCWS",NA,NA,"not_relevant"
"Educational Assistance for MCWS",NA,NA,"not_relevant"
"Medical Assistance for MCWS",NA,NA,"not_relevant"
"No Assistance for CTEG",NA,NA,"not_relevant"
"Physical Assistance for CTEG",NA,NA,"not_relevant"
"Technical Assistance for CTEG",NA,NA,"not_relevant"
"Educational Assistance for CTEG",NA,NA,"not_relevant"
"Medical Assistance for CTEG",NA,NA,"not_relevant"
"No Assistance for AAT",NA,NA,"not_relevant"
"Physical Assistance for AAT",NA,NA,"not_relevant"
"Technical Assistance for AAT",NA,NA,"not_relevant"
"Educational Assistance for AAT",NA,NA,"not_relevant"
"Medical Assistance for AAT",NA,NA,"not_relevant"
"No Assistance for APA",NA,NA,"not_relevant"
"Physical Assistance for APA",NA,NA,"not_relevant"
"Technical Assistance for APA",NA,NA,"not_relevant"
"Educational Assistance for APA",NA,NA,"not_relevant"
"Medical Assistance for APA",NA,NA,"not_relevant"
"Mean (Control Group)",NA,NA,"not_relevant"
"Mean (Experimental Group)",NA,NA,"not_relevant"
"Mean (First Tertile Control Group)",NA,NA,"not_relevant"
"Mean (First Tertile Experimental Group)",NA,NA,"not_relevant"
"Mean (Second Tertile Control Group)",NA,NA,"not_relevant"
"Mean (Second Tertile Experimental Group)",NA,NA,"not_relevant"
"Mean (Third Tertile Control Group)",NA,NA,"not_relevant"
"Mean (Third Tertile Experimental Group)",NA,NA,"not_relevant"
"Difference in acceptability",NA,NA,"not_relevant"
"F1 macro score",NA,NA,"not_relevant"
"Standardized Coefficient (Intercept)",NA,NA,"not_relevant"
"Standardized Coefficient (Number of replies)",NA,NA,"not_relevant"
"Standardized Coefficient (Account age)",NA,NA,"not_relevant"
"Standardized Coefficient (Number of followers)",NA,NA,"not_relevant"
"Standardized Coefficient (Verified on Twitter)",NA,NA,"not_relevant"
"Standardized Coefficient (Number of retweets)",NA,NA,"not_relevant"
"Standardized Coefficient (Candidates followed)",NA,NA,"not_relevant"
"Standardized Coefficient (Page rank)",NA,NA,"not_relevant"
"Standardized Coefficient (Partisan hashtag in profile)",NA,NA,"not_relevant"
"Standardized Coefficient (% replies to opponent candidates)",NA,NA,"not_relevant"
"Standardized Coefficient (Opponent candidates replied to)",NA,NA,"not_relevant"
"Standardized Coefficient (Adversarial tweets posted by friends)",NA,NA,"not_relevant"
"Standardized Coefficient (% friends posted ≥ 3 adversarial tweets)",NA,NA,"not_relevant"
"Percentage Increase",NA,NA,"not_relevant"
"Min",NA,NA,"not_relevant"
"Max",NA,NA,"not_relevant"
"Kramer's v","cramers_v","","yes"
"Median Rank",NA,NA,"not_relevant"
"Accuracy (NL)",NA,NA,"not_relevant"
"Accuracy (AM)",NA,NA,"not_relevant"
"Time (NL)",NA,NA,"not_relevant"
"Time (AM)",NA,NA,"not_relevant"
"Overview Insights (AM)",NA,NA,"not_relevant"
"Ranked Attribute Insights (AM)",NA,NA,"not_relevant"
"Topology-only Insights (NL)",NA,NA,"not_relevant"
"Topology-Attribute Insights (NL)",NA,NA,"not_relevant"
"Within-Node Attribute Insights (NL)",NA,NA,"not_relevant"
"FAR (Tip Pinch)",NA,NA,"not_relevant"
"FRR (Tip Pinch)",NA,NA,"not_relevant"
"FAR (Side Pinch)",NA,NA,"not_relevant"
"FRR (Side Pinch)",NA,NA,"not_relevant"
"Mean Time (Neutral, Aligned)",NA,NA,"not_relevant"
"Mean Time (Neutral, Misaligned)",NA,NA,"not_relevant"
"Mean Time (Snapping, Aligned)",NA,NA,"not_relevant"
"Mean Time (Snapping, Misaligned)",NA,NA,"not_relevant"
"Cliff's delta",NA,NA,"not_relevant"
"Percentage from VR",NA,NA,"not_relevant"
"VR Active Minutes",NA,NA,"not_relevant"
"Steps Active Minutes",NA,NA,"not_relevant"
"Total Active Minutes",NA,NA,"not_relevant"
"Mean Squared Error (MSE)",NA,NA,"not_relevant"
"proportion difference",NA,NA,"not_relevant"
"Variance Explained",NA,NA,"not_relevant"
"Cronbach's Alpha",NA,NA,"not_relevant"
"R^2 Adjusted","r_squared","adjusted","yes"
"ß",NA,NA,"not_relevant"
"BF",NA,NA,"not_relevant"
"	δ",NA,NA,"not_relevant"
"Medium ES",NA,NA,"not_relevant"
"Large ES",NA,NA,"not_relevant"
"Cohen's f","cohens_f","","yes"
"Cronbach's α",NA,NA,"not_relevant"
"β1",NA,NA,"not_relevant"
"F ratio",NA,NA,"not_relevant"
"Mean agreement",NA,NA,"not_relevant"
"Percentage agreement",NA,NA,"not_relevant"
"Participants",NA,NA,"not_relevant"
"utm_source",NA,NA,"not_relevant"
"utm_medium",NA,NA,"not_relevant"
"utm_content",NA,NA,"not_relevant"
"No Of Videos Watched Per User",NA,NA,"not_relevant"
"Sweet Anita",NA,NA,"not_relevant"
"iFL TV",NA,NA,"not_relevant"
"Tim Pool",NA,NA,"not_relevant"
"FNG",NA,NA,"not_relevant"
"The Alpha Male Strategies Show",NA,NA,"not_relevant"
"Cereal Entrepreneur - Jordan Steen",NA,NA,"not_relevant"
"LetsPlay",NA,NA,"not_relevant"
"SAM THE COOKING GUY",NA,NA,"not_relevant"
"Unbox Therapy",NA,NA,"not_relevant"
"Movieclips",NA,NA,"not_relevant"
"Linus Tech Tips",NA,NA,"not_relevant"
"Simply Nailogical",NA,NA,"not_relevant"
"jade darmawangsa",NA,NA,"not_relevant"
"Coefficient (Facebook-related job)",NA,NA,"not_relevant"
"Coefficient (time spent on Facebook score)",NA,NA,"not_relevant"
"MCC",NA,NA,"not_relevant"
"Mean time (old interface)",NA,NA,"not_relevant"
"Mean time (new interface)",NA,NA,"not_relevant"
"Percentage (old notification settings)",NA,NA,"not_relevant"
"Percentage (new notification settings)",NA,NA,"not_relevant"
"Percentage (ad preferences page)",NA,NA,"not_relevant"
"Percentage (removing ad interests)",NA,NA,"not_relevant"
"F1 score",NA,NA,"not_relevant"
"Mean (Avatar)",NA,NA,"not_relevant"
"Mean (Camera)",NA,NA,"not_relevant"
"Mean (Skeleton)",NA,NA,"not_relevant"
"λ",NA,NA,"not_relevant"
"Spine",NA,NA,"not_relevant"
"Pan (Control)",NA,NA,"not_relevant"
"partial ɳ²","eta_squared","partial","yes"
"Mean (Camera - Dancing)",NA,NA,"not_relevant"
"Mean (Camera - Jumping)",NA,NA,"not_relevant"
"Mean (Camera - Spine)",NA,NA,"not_relevant"
"Mean (Camera - Panning)",NA,NA,"not_relevant"
"Mean (Control - Touching)",NA,NA,"not_relevant"
"Mean (Control - Dancing)",NA,NA,"not_relevant"
"Mean (Control - Panning)",NA,NA,"not_relevant"
"Mean (Control - Spine)",NA,NA,"not_relevant"
"Mean (Control - Waving)",NA,NA,"not_relevant"
"Mean (Control - Swiping)",NA,NA,"not_relevant"
"Mean (Control - Other)",NA,NA,"not_relevant"
"Mean (Avatar - Adults)",NA,NA,"not_relevant"
"Mean (Avatar - Children)",NA,NA,"not_relevant"
"Mean (Skeleton - Adults)",NA,NA,"not_relevant"
"Mean (Camera - Adults)",NA,NA,"not_relevant"
"Exploration",NA,NA,"not_relevant"
"Results Worth Effort",NA,NA,"not_relevant"
"Enjoyment",NA,NA,"not_relevant"
"Adjusted R² (μ)","r_squared","adjusted","yes"
"Adjusted R² (σ)","r_squared","adjusted","yes"
"MAE (μ)",NA,NA,"not_relevant"
"MAE (σ)",NA,NA,"not_relevant"
"MWD",NA,NA,"not_relevant"
"Mean resumption lag (ScreenTrack)",NA,NA,"not_relevant"
"Mean resumption lag (Control)",NA,NA,"not_relevant"
"Coverage Improvement",NA,NA,"not_relevant"
"Transition Coverage Improvement",NA,NA,"not_relevant"
"Transition Coverage Difference",NA,NA,"not_relevant"
"Time Reduction",NA,NA,"not_relevant"
"Time Metrics Difference",NA,NA,"not_relevant"
"Task Completion Time Difference",NA,NA,"not_relevant"
"Average time (s)",NA,NA,"not_relevant"
"Time (s) per transition",NA,NA,"not_relevant"
"Adjusted R^2","r_squared","adjusted","yes"
"Mean (Gamers)",NA,NA,"not_relevant"
"Mean (Non-gamers)",NA,NA,"not_relevant"
"cμ",NA,NA,"not_relevant"
"cσ",NA,NA,"not_relevant"
"ν",NA,NA,"not_relevant"
"Median (Embodied Axes)",NA,NA,"not_relevant"
"Median (Tracked Controllers)",NA,NA,"not_relevant"
"Tukey HSD",NA,NA,"not_relevant"
"Pillai's Trace",NA,NA,"not_relevant"
"Mean (CT Score)",NA,NA,"not_relevant"
"Mean (Block Count)",NA,NA,"not_relevant"
"Mean (Abstraction)",NA,NA,"not_relevant"
"Mean (Parallelism)",NA,NA,"not_relevant"
"Mean (Logic)",NA,NA,"not_relevant"
"Mean (Synchronization)",NA,NA,"not_relevant"
"Mean (Flow Control)",NA,NA,"not_relevant"
"Mean (User Interactivity)",NA,NA,"not_relevant"
"Mean (Data Representation)",NA,NA,"not_relevant"
"a_n",NA,NA,"not_relevant"
"a_v",NA,NA,"not_relevant"
"b_n",NA,NA,"not_relevant"
"b_v",NA,NA,"not_relevant"
"Mean F1, P1",NA,NA,"not_relevant"
"Mean F1, P2",NA,NA,"not_relevant"
"Mean F1, P3",NA,NA,"not_relevant"
"Preference for Ours",NA,NA,"not_relevant"
"Preference for Keyword",NA,NA,"not_relevant"
"Preference for Manual",NA,NA,"not_relevant"
"Ours (Mean)",NA,NA,"not_relevant"
"Manual (Mean)",NA,NA,"not_relevant"
"Keyword (Mean)",NA,NA,"not_relevant"
"partial eta squared","eta_squared","partial","yes"
"chi-squared",NA,NA,"not_relevant"
"Accuracy (M)",NA,NA,"not_relevant"
"AUC (M)",NA,NA,"not_relevant"
"Accuracy (F)",NA,NA,"not_relevant"
"AUC (F)",NA,NA,"not_relevant"
"Textio",NA,NA,"not_relevant"
"Unitive",NA,NA,"not_relevant"
"BERT fine-tune",NA,NA,"not_relevant"
"Mean Time (Static)",NA,NA,"not_relevant"
"Mean Time (Interactive)",NA,NA,"not_relevant"
"Error Rate (Static)",NA,NA,"not_relevant"
"Error Rate (Interactive)",NA,NA,"not_relevant"
"Scroll Distance (Static)",NA,NA,"not_relevant"
"Scroll Distance (Interactive)",NA,NA,"not_relevant"
"Average Time Spent",NA,NA,"not_relevant"
"Berry et al. approach",NA,NA,"not_relevant"
"Kendall's Concordance Coefficient W",NA,NA,"not_relevant"
"Chi-Square (χ²)",NA,NA,"not_relevant"
"classification performance",NA,NA,"not_relevant"
"correction time",NA,NA,"not_relevant"
"number of necessary manual operations",NA,NA,"not_relevant"
"F0.5",NA,NA,"not_relevant"
"F2",NA,NA,"not_relevant"
"Correctness Before",NA,NA,"not_relevant"
"Correctness After",NA,NA,"not_relevant"
"Manual",NA,NA,"not_relevant"
"Automatic",NA,NA,"not_relevant"
"Coefficient (Unfavorable Outcome)",NA,NA,"not_relevant"
"Coefficient (Biased Treatment)",NA,NA,"not_relevant"
"Coefficient (Unfavorable Outcome vs. Favorable Outcome)",NA,NA,"not_relevant"
"Coefficient (Biased Treatment vs. Unbiased Treatment)",NA,NA,"not_relevant"
"Cohen's h",NA,NA,"not_relevant"
"% Correct",NA,NA,"not_relevant"
"% Participants",NA,NA,"not_relevant"
"Mean difference (depth ray)",NA,NA,"not_relevant"
"Mean difference (bubble)",NA,NA,"not_relevant"
"Mean difference (shadow)",NA,NA,"not_relevant"
"Mean difference (heatmap)",NA,NA,"not_relevant"
"Mean difference (minVis)",NA,NA,"not_relevant"
"Percentage (bubble)",NA,NA,"not_relevant"
"Mean confidence (heatmap)",NA,NA,"not_relevant"
"Mean helpfulness (heatmap)",NA,NA,"not_relevant"
"Mean comprehensibility (heatmap)",NA,NA,"not_relevant"
"Confidence in Proportion Estimation",NA,NA,"not_relevant"
"Confidence in Quantity Estimation",NA,NA,"not_relevant"
"Verbal Expressions of Enjoyment",NA,NA,"not_relevant"
"Verbal Expressions of Lack of Enjoyment",NA,NA,"not_relevant"
"Immersion in VR",NA,NA,"not_relevant"
"Immersion in 2D",NA,NA,"not_relevant"
"References to Life Experiences in VR",NA,NA,"not_relevant"
"References to Life Experiences in 2D",NA,NA,"not_relevant"
"References to Real World Objects and Senses in VR",NA,NA,"not_relevant"
"References to Real World Objects and Senses in 2D",NA,NA,"not_relevant"
"References to Abstract Concepts in 2D",NA,NA,"not_relevant"
"References to Abstract Concepts in VR",NA,NA,"not_relevant"
"Log Estimate (LE)",NA,NA,"not_relevant"
"Coef",NA,NA,"not_relevant"
"IS Scores",NA,NA,"not_relevant"
"ES Scores",NA,NA,"not_relevant"
"GraphScape Rank",NA,NA,"not_relevant"
"Draco Rank",NA,NA,"not_relevant"
"AIC",NA,NA,"not_relevant"
"Resistance decrease",NA,NA,"not_relevant"
"Preference for CurveBoard",NA,NA,"not_relevant"
"F1 score increase",NA,NA,"not_relevant"
"median d",NA,NA,"not_relevant"
"Absolute Offset",NA,NA,"not_relevant"
"Relative Offset",NA,NA,"not_relevant"
"Baseline Accuracy",NA,NA,"not_relevant"
"SVM Accuracy",NA,NA,"not_relevant"
"R_adj^2","r_squared","adjusted","yes"
"Percentage of letters typed with left hand",NA,NA,"not_relevant"
"R^2 (left hand same-side taps)","r_squared","","yes"
"R^2 (right hand same-side taps)","r_squared","","yes"
"R^2 (right to left alternate-side taps)","r_squared","","yes"
"R^2 (left to right alternate-side taps)","r_squared","","yes"
"η^2_p","eta_squared","partial","yes"
"TER (Total Error Rate)",NA,NA,"not_relevant"
"UER (Uncorrected Error Rate)",NA,NA,"not_relevant"
"Auto-Complete Rate",NA,NA,"not_relevant"
"Top 1 Rank Percentage",NA,NA,"not_relevant"
"Bayes Factor (BF)",NA,NA,"not_relevant"
"σ",NA,NA,"not_relevant"
"Improvement Percentage",NA,NA,"not_relevant"
"Slope Coefficient",NA,NA,"not_relevant"
"bindirect",NA,NA,"not_relevant"
"mean (AF)",NA,NA,"not_relevant"
"mean (Multi-View)",NA,NA,"not_relevant"
"mean SUS",NA,NA,"not_relevant"
"mean SUS (spatial guidance interface)",NA,NA,"not_relevant"
"SD (spatial guidance interface)",NA,NA,"not_relevant"
"mean SUS (guided light field capture)",NA,NA,"not_relevant"
"SD (guided light field capture)",NA,NA,"not_relevant"
"Mean Interaction Time (Real World)",NA,NA,"not_relevant"
"Mean Interaction Time (VR)",NA,NA,"not_relevant"
"Correctness-rate",NA,NA,"not_relevant"
"Win Rate (Word List A)",NA,NA,"not_relevant"
"Win Rate (Word List B)",NA,NA,"not_relevant"
"Mean response (Winners)",NA,NA,"not_relevant"
"Mean response (Losers)",NA,NA,"not_relevant"
"Average crossings",NA,NA,"not_relevant"
"Average link length variance",NA,NA,"not_relevant"
"Average incidence angle",NA,NA,"not_relevant"
"Average Wrappings",NA,NA,"not_relevant"
"Average Corner wrappings",NA,NA,"not_relevant"
"Average Answers on wrappings",NA,NA,"not_relevant"
"Average Answers on corner wrappings",NA,NA,"not_relevant"
"partial eta-squared (ηp²)","eta_squared","partial","yes"
"Phi (ϕ)",NA,NA,"no"
"Generalized Eta-Squared (η²)",NA,NA,"not_relevant"
"Average Task Time (Original)",NA,NA,"not_relevant"
"Average Task Time (Metrics)",NA,NA,"not_relevant"
"Average Task Time (Filter)",NA,NA,"not_relevant"
"Average # Videos Clicked (Original)",NA,NA,"not_relevant"
"Average # Videos Clicked (Metrics)",NA,NA,"not_relevant"
"Average # Videos Clicked (Filter)",NA,NA,"not_relevant"
"Cohen's Kappa (Overall Accessibility)",NA,NA,"not_relevant"
"Cohen's Kappa (Q3)",NA,NA,"not_relevant"
"Cohen's Kappa (Q4)",NA,NA,"not_relevant"
"Cohen's Kappa (Q5)",NA,NA,"not_relevant"
"Cohen's Kappa (Q6)",NA,NA,"not_relevant"
"Pearson Correlation (Q3)","pearsons_r","","yes"
"Pearson Correlation (Q4)","pearsons_r","","yes"
"Pearson Correlation (Q5)","pearsons_r","","yes"
"Pearson Correlation (Q6)","pearsons_r","","yes"
"Grand Mean Increase",NA,NA,"not_relevant"
"Increase in SDNN",NA,NA,"not_relevant"
"Grand Mean Breathing Rate",NA,NA,"not_relevant"
"Perceived Effort",NA,NA,"not_relevant"
"Questions Completed",NA,NA,"not_relevant"
"Task Load",NA,NA,"not_relevant"
